"Full Name",title,age
"Alok Nanda",Programmer,32
"Ane Pandit","Web Designer",24
"Arthur Sam",Programmer,28
"Danny Gibson","System Administrator",31
"Edward Parhar","Multimedia Programmer",30
"Fred King",Programmer,32
"Henry Ali","Customer Service Manager",32
"Jack Sim","Marketing Executive",27
"Jan Pillai","Senior Programmer",32
"Joe Irvine","Marketing Executive",27
"John Chen","Senior Programmer",31
"John Mac",Programmer,32
"Kim Hunter","Senior Web Designer",32
"Mary Anchor","Web Designer",27
"Mary Sunday","Marketing Executive",31
"Mike Harper","Senior Marketing Executive",36
"Paul Simon","Multimedia Programmer",23
"Peter Champion","Finance Manager",32
"Roger Lewis","System Administrator",32
"Susan Ra","Multimedia Programmer",32
