"Employee ID","EMPLOYEE NAME","MANAGER NAME"
2,"Flick  Reese","Lewis  Schneider"
3,"Kmanagers  Agg","Lewis  Schneider"
4,"Marjorie  Guess","Lewis  Schneider"
5,"Jericho  Rifler","Lewis  Schneider"
6,"Davina  Tomey","Flick  Reese"
7,"Kelly  Sidower","Flick  Reese"
8,"Piers  Hoenshell","Flick  Reese"
9,"Mckenzie  Herndon","Flick  Reese"
10,"Zeke  Cross","Flick  Reese"
11,"Whitaker  Sanders","Kmanagers  Agg"
12,"Yorick  Gaskins","Kmanagers  Agg"
13,"Sophia  Yates","Kmanagers  Agg"
14,"Marsha  Shaw","Kmanagers  Agg"
15,"Skylar  Ritter","Kmanagers  Agg"
16,"Esmeralda  Flickinger","Kmanagers  Agg"
17,"Nikolas  Fulton","Kmanagers  Agg"
18,"Ginnie  Sandys","Kmanagers  Agg"
19,"Clem  Burns","Marjorie  Guess"
20,"Marian  Sloan","Marjorie  Guess"
21,"Addie  James","Marjorie  Guess"
22,"Mackenzie  Richter","Marjorie  Guess"
23,"Crofton  Poehl","Jericho  Rifler"
24,"Laurissa  Buttermore","Jericho  Rifler"
25,"Tonia  Fox","Jericho  Rifler"
26,"Eleanora  Finlay","Jericho  Rifler"
27,"Ysabel  Williamson","Jericho  Rifler"
28,"Alys  Moberly","Jericho  Rifler"
29,"Arnold  Wise","Jericho  Rifler"
30,"Ashlynn  Hoenshell","Jericho  Rifler"
31,"Dale  Stafford","Marian  Sloan"
32,"Hughie  Quirin","Marian  Sloan"
33,"Keshaun  Newbern","Marian  Sloan"
34,"Morgana  Hiles","Marian  Sloan"
35,"Phoenix  Cox","Marian  Sloan"
36,"Phyllida  Drennan","Marian  Sloan"
37,"Griffin  Cady","Marian  Sloan"
38,"Zachariah  Drumm","Marian  Sloan"
39,"Sybella  Huey","Marian  Sloan"
40,"Lesleigh  Reddish","Marian  Sloan"
41,"Jenn  Ring","Clem  Burns"
42,"Martie  Doverspike","Clem  Burns"
43,"Douglas  Simmons","Laurissa  Buttermore"
44,"Marlon  Davis","Laurissa  Buttermore"
45,"Ernestine  Johnston","Laurissa  Buttermore"
46,"Jeanie  Mcindoe","Eleanora  Finlay"
47,"Zubin  Shotts","Eleanora  Finlay"
48,"Tia  Kooser","Eleanora  Finlay"
49,"Edwyn  Summy","Eleanora  Finlay"
50,"Tristand  Tomlinson","Ashlynn  Hoenshell"
